Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,73.650002,74.620003,72.949997,74.610001,74.610001,0
2019-03-05,74.500000,74.910004,74.150002,74.910004,74.910004,0
2019-03-06,74.919998,74.919998,73.070000,73.150002,73.150002,0
2019-03-07,73.080002,73.959999,72.660004,73.629997,73.629997,0
2019-03-08,74.599998,76.059998,74.050003,76.019997,76.019997,0
2019-03-11,75.839996,76.379997,74.349998,75.529999,75.529999,0
2019-03-12,75.980003,77.150002,75.980003,77.070000,77.070000,0
2019-03-13,77.400002,78.000000,76.760002,77.419998,77.419998,0
2019-03-14,76.449997,76.449997,75.199997,75.330002,75.330002,0
2019-03-15,75.769997,76.699997,75.089996,76.050003,76.050003,0
2019-03-18,76.150002,76.430000,75.000000,75.120003,75.120003,0
2019-03-19,75.849998,76.190002,75.370003,75.400002,75.400002,0
2019-03-20,75.290001,77.150002,73.930000,76.820000,76.820000,0
2019-03-21,76.930000,77.410004,75.839996,77.290001,77.290001,0
2019-03-22,77.089996,77.980003,76.790001,77.379997,77.379997,0
2019-03-25,77.680000,79.440002,77.610001,79.269997,79.269997,0
2019-03-26,78.699997,79.769997,78.349998,79.669998,79.669998,0
2019-03-27,79.570000,79.889999,78.389999,78.510002,78.510002,0
2019-03-28,77.629997,77.629997,75.980003,76.500000,76.500000,0
2019-03-29,77.120003,77.459999,76.320000,76.360001,76.360001,0
2019-04-01,76.620003,76.930000,74.599998,75.089996,75.089996,0
2019-04-02,75.070000,75.599998,74.889999,75.279999,75.279999,0
2019-04-03,75.589996,75.989998,75.269997,75.419998,75.419998,0
2019-04-04,75.003998,75.507401,74.454201,75.459702,75.459702,0
