Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,64.099998,64.699997,64.000000,64.199997,64.199997,31114804
2019-03-05,64.000000,64.400002,63.900002,64.349998,64.349998,21053002
2019-03-06,64.099998,64.750000,64.099998,64.699997,64.699997,18049783
2019-03-07,64.349998,65.199997,64.349998,64.849998,64.849998,23198002
2019-03-08,64.500000,64.500000,64.050003,64.250000,64.250000,56524305
2019-03-11,64.250000,64.500000,64.099998,64.449997,64.449997,25652643
2019-03-12,64.550003,64.900002,64.500000,64.849998,64.849998,17437611
2019-03-13,64.650002,64.650002,64.300003,64.400002,64.400002,15180492
2019-03-14,64.500000,64.699997,64.300003,64.650002,64.650002,13022202
2019-03-15,64.500000,65.099998,64.500000,64.849998,64.849998,16445426
2019-03-18,64.949997,65.199997,64.699997,65.099998,65.099998,17084671
2019-03-19,65.099998,65.400002,65.099998,65.349998,65.349998,13800371
2019-03-20,65.050003,65.150002,64.800003,65.050003,65.050003,16827986
2019-03-21,65.099998,65.199997,64.800003,64.800003,64.800003,17954998
2019-03-22,65.000000,65.000000,64.300003,64.750000,64.750000,16608194
2019-03-25,63.849998,64.050003,63.700001,63.700001,63.700001,40486827
2019-03-26,64.000000,64.099998,63.799999,63.900002,63.900002,14538300
2019-03-27,63.849998,64.000000,63.799999,63.849998,63.849998,23080176
2019-03-28,63.650002,63.950001,63.650002,63.700001,63.700001,19325936
2019-03-29,63.700001,64.050003,63.700001,63.900002,63.900002,14013522
2019-04-01,64.150002,64.800003,64.099998,64.750000,64.750000,20610944
2019-04-02,65.050003,65.500000,65.050003,65.449997,65.449997,29102893
2019-04-03,66.150002,66.599998,66.000000,66.400002,66.400002,43821179
2019-04-04,66.699997,66.949997,66.199997,66.500000,66.500000,28689527
