Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,3.340000,3.380000,3.280000,3.350000,3.350000,23029750
2019-03-05,3.330000,3.330000,3.240000,3.300000,3.300000,25964000
2019-03-06,3.300000,3.400000,3.280000,3.360000,3.360000,22999426
2019-03-07,3.350000,3.440000,3.300000,3.320000,3.320000,25895877
2019-03-08,3.320000,3.320000,3.190000,3.190000,3.190000,29209062
2019-03-11,3.230000,3.250000,3.170000,3.210000,3.210000,18239000
2019-03-12,3.220000,3.330000,3.220000,3.310000,3.310000,15974244
2019-03-13,3.300000,3.310000,3.230000,3.250000,3.250000,15729123
2019-03-14,3.290000,3.330000,3.210000,3.230000,3.230000,16811668
2019-03-15,3.240000,3.280000,3.200000,3.250000,3.250000,35249550
2019-03-18,3.270000,3.280000,3.200000,3.240000,3.240000,19953372
2019-03-19,3.250000,3.300000,3.220000,3.230000,3.230000,17387000
2019-03-20,3.250000,3.260000,3.210000,3.220000,3.220000,17409017
2019-03-21,3.260000,3.410000,3.250000,3.400000,3.400000,38992120
2019-03-22,3.350000,3.370000,3.240000,3.320000,3.320000,22079500
2019-03-25,3.300000,3.300000,3.200000,3.250000,3.250000,24300750
2019-03-26,3.240000,3.380000,3.240000,3.300000,3.300000,36922000
2019-03-27,3.310000,3.320000,3.220000,3.280000,3.280000,23774037
2019-03-28,3.260000,3.280000,3.240000,3.240000,3.240000,17216275
2019-03-29,3.240000,3.260000,3.200000,3.250000,3.250000,21585600
2019-04-01,3.290000,3.420000,3.280000,3.370000,3.370000,47413761
2019-04-02,3.400000,3.400000,3.350000,3.360000,3.360000,18493742
2019-04-03,3.380000,3.470000,3.360000,3.470000,3.470000,28778783
2019-04-04,3.420000,3.510000,3.420000,3.500000,3.500000,41650772
